uid,y_id,y_label,item_type,group,shape,color,outline_level,wbs,summary,milestone,include,fill_alpha,bar_pattern,bar_line_color,bar_line_width,marker_size,marker_line_color,marker_line_width
0,1,Generic DoD Program — Acquisition Lifecycle (Demo),task,Program,rectangle,#7F7F7F,1,1,True,False,False,,,#333333,1,,,
1,1.1,Materiel Development Decision (MDD),milestone,Gates,triangle-up,#FECB52,2,1.1,False,True,True,,,#333333,1,18.0,black,1.0
2,1.2,Materiel Solution Analysis (MSA) Phase,task,MSA,rectangle,#636EFA,2,1.2,True,False,False,0.18,/,#333333,2,,,
3,1.3,Technology Maturation & Risk Reduction (TMRR) Phase,task,TMRR,rectangle,#EF553B,2,1.3,True,False,False,0.18,/,#333333,2,,,
4,1.4,Engineering & Manufacturing Development (EMD) Phase,task,EMD,rectangle,#00CC96,2,1.4,True,False,False,0.18,/,#333333,2,,,
5,1.5,Production & Deployment (P&D) Phase,task,P&D,rectangle,#AB63FA,2,1.5,True,False,False,0.18,/,#333333,2,,,
6,1.6,Operations & Support (O&S) Phase,task,O&S,rectangle,#19D3F3,2,1.6,True,False,False,0.18,/,#333333,2,,,
7,1.2.1,MSA — Requirements & AoA,task,MSA,rectangle,#636EFA,3,1.2.1,True,False,False,0.28,\,#333333,2,,,
8,1.2.1.1,Validate capability need (ICD) & initial CONOPS,task,MSA,rectangle,#636EFA,4,1.2.1.1,False,False,True,0.85,,#333333,1,,,
9,1.2.1.2,Develop AoA Study Guidance,task,MSA,rectangle,#636EFA,4,1.2.1.2,False,False,True,0.85,,#333333,1,,,
10,1.2.1.3,Conduct Analysis of Alternatives (AoA),task,MSA,rectangle,#636EFA,4,1.2.1.3,False,False,True,0.85,,#333333,1,,,
11,1.2.1.4,Draft capability requirements (draft CDD),task,MSA,rectangle,#636EFA,4,1.2.1.4,False,False,True,0.85,,#333333,1,,,
12,1.2.2,MSA — Early Systems Engineering Reviews,task,MSA,rectangle,#636EFA,3,1.2.2,True,False,False,0.28,\,#333333,2,,,
13,1.2.2.1,Alternative Systems Review (ASR),milestone,MSA,diamond,#FECB52,4,1.2.2.1,False,True,True,,,#333333,1,14.0,black,1.0
14,1.2.2.2,System Requirements Review (SRR),milestone,MSA,diamond,#FECB52,4,1.2.2.2,False,True,True,,,#333333,1,14.0,black,1.0
15,1.2.3,MSA — Acquisition Strategy & Contracting Prep,task,MSA,rectangle,#636EFA,3,1.2.3,True,False,False,0.28,\,#333333,2,,,
16,1.2.3.1,Initial Acquisition Strategy & funding profile,task,MSA,rectangle,#636EFA,4,1.2.3.1,False,False,True,0.85,,#333333,1,,,
17,1.2.3.2,Market research / industry engagement,task,MSA,rectangle,#636EFA,4,1.2.3.2,False,False,True,0.85,,#333333,1,,,
18,1.2.4,Milestone A Decision (enter TMRR),milestone,MSA,triangle-up,#FECB52,3,1.2.4,False,True,True,,,#333333,1,18.0,black,1.0
19,1.3.1,TMRR — Prototyping & Tech Maturation,task,TMRR,rectangle,#EF553B,3,1.3.1,True,False,False,0.28,\,#333333,2,,,
20,1.3.1.1,Build/assess competitive prototypes,task,TMRR,rectangle,#EF553B,4,1.3.1.1,False,False,True,0.85,,#333333,1,,,
21,1.3.1.2,Demonstrate key technologies in relevant environment,task,TMRR,rectangle,#EF553B,4,1.3.1.2,False,False,True,0.85,,#333333,1,,,
