uid,y_id,y_label,item_type,group,shape,color,outline_level,wbs,summary,milestone,include,fill_alpha,bar_pattern,bar_line_color,bar_line_width,marker_size,marker_line_color,marker_line_width
0,0,,task,Unassigned,rectangle,#636EFA,0,0,True,False,False,,,#333333,1,,,
1,1,,task,Unassigned,rectangle,#636EFA,1,1,True,False,False,,,#333333,1,,,
2,1.1,,task,Group Task 1,rectangle,#F26386,2,1.1,True,False,False,,,#333333,2,,,
3,1.1.1,Group Task 1,task,Group Task 1,rectangle,#F26386,3,1.1.1,False,False,True,0.85,x,#333333,1,,,
4,1.1.2,,task,Group Task 1,rectangle,#F26386,3,1.1.2,False,False,True,0.85,,#333333,1,,,
5,1.1.3,,task,Group Task 1,rectangle,#F26386,3,1.1.3,False,False,True,0.85,,#333333,1,,,
18,1.1.4,,task,Group Task 2,rectangle,#F588AF,3,1.1.4,True,False,False,0.85,,#333333,1,,,
19,1.1.4.1,Group Task 2,task,Group Task 2,rectangle,#F588AF,4,1.1.4.1,False,False,True,0.6,,#333333,1,,,
20,1.1.4.2,,task,Group Task 2,rectangle,#F588AF,4,1.1.4.2,False,False,True,0.6,,#333333,1,,,
21,1.1.4.3,,task,Group Task 2,rectangle,#F588AF,4,1.1.4.3,False,False,True,0.6,,#333333,1,,,
14,1.2,,task,Group Task 3,rectangle,#A4D984,2,1.2,True,False,False,,,#333333,2,,,
15,1.2,Group Task 3,task,Group Task 3,rectangle,#A4D984,3,1.2.1,False,False,True,0.85,,#333333,1,,,
16,1.2,,task,Group Task 3,rectangle,#A4D984,3,1.2.2,False,False,True,0.85,,#333333,1,,,
17,1.2,,task,Group Task 3,rectangle,#A4D984,3,1.2.3,False,False,True,0.85,,#333333,1,,,
10,1.3,,task,Group Task 4,rectangle,#FCBC52,2,1.3,True,False,False,,,#333333,2,,,
11,1.3.1,Group Task 4,task,Group Task 4,rectangle,#FCBC52,3,1.3.1,False,False,True,0.85,,#333333,1,,,
12,1.3.2,,task,Group Task 4,rectangle,#FCBC52,3,1.3.2,False,False,True,0.85,,#333333,1,,,
13,1.3.3,,task,Group Task 4,rectangle,#FCBC52,3,1.3.3,False,False,True,0.85,,#333333,1,,,
6,1.4,,task,Group Task 5,rectangle,#FD814E,2,1.4,True,False,False,,,#333333,2,,,
7,1.4.1,Group Task 5,task,Group Task 5,rectangle,#FD814E,3,1.4.1,False,False,True,0.85,,#333333,1,,,
8,1.4.2,,task,Group Task 5,rectangle,#FD814E,3,1.4.2,False,False,True,0.85,,#333333,1,,,
9,1.4.3,,task,Group Task 5,rectangle,#FD814E,3,1.4.3,False,False,True,0.85,,#333333,1,,,
22,1.4.3,,milestone,Final Delivery,square,green,2,1.5,False,True,True,,,#333333,1,14,black,1
