uid,y_id,y_label,item_type,group,shape,color,outline_level,wbs,summary,milestone,start,finish,include,fill_alpha,bar_pattern,bar_line_color,bar_line_width,marker_size,marker_line_color,marker_line_width
0,1,1 — Generic DoD Program — Acquisition Lifecycle (Demo),task,Program,star,#7F7F7F,1,1,True,False,2025-10-01 08:00:00,2031-09-30 17:00:00,False,0.85,,#333333,1,,#333333,1
1,1.1,1.1 — Materiel Development Decision (MDD),milestone,Gates,triangle-up,#FECB52,2,1.1,False,True,2025-10-15 13:00:00,2025-10-15 13:00:00,True,1,,#333333,1,18,#333333,1
2,1.2,1.2 — Materiel Solution Analysis (MSA) Phase,task,MSA,star,#636EFA,2,1.2,True,False,2025-10-16 08:00:00,2026-03-31 17:00:00,True,0.18,/,#333333,2,,#333333,1
3,1.3,1.3 — Technology Maturation & Risk Reduction (TMRR) Phase,task,TMRR,star,#EF553B,2,1.3,True,False,2026-04-01 08:00:00,2026-12-31 17:00:00,True,0.18,/,#333333,2,,#333333,1
4,1.4,1.4 — Engineering & Manufacturing Development (EMD) Phase,task,EMD,star,#00CC96,2,1.4,True,False,2027-01-01 08:00:00,2028-09-30 17:00:00,True,0.18,/,#333333,2,,#333333,1
5,1.5,1.5 — Production & Deployment (P&D) Phase,task,P&D,star,#AB63FA,2,1.5,True,False,2028-10-01 08:00:00,2029-09-30 17:00:00,True,0.18,/,#333333,2,,#333333,1
6,1.6,1.6 — Operations & Support (O&S) Phase,task,O&S,star,#19D3F3,2,1.6,True,False,2029-10-01 08:00:00,2031-09-30 17:00:00,True,0.18,/,#333333,2,,#333333,1
7,1.2.1,1.2.1 — MSA — Requirements & AoA,task,MSA,star,#636EFA,3,1.2.1,True,False,2025-10-16 08:00:00,2026-03-15 17:00:00,True,0.28,\,#333333,2,,#333333,1
8,1.2.1.1,1.2.1.1 — Validate capability need (ICD) & initial CONOPS,task,MSA,star,#636EFA,4,1.2.1.1,False,False,2025-10-16 08:00:00,2025-11-14 17:00:00,True,0.85,,#333333,1,,#333333,1
9,1.2.1.2,1.2.1.2 — Develop AoA Study Guidance,task,MSA,star,#636EFA,4,1.2.1.2,False,False,2025-11-17 08:00:00,2025-12-05 17:00:00,True,0.85,,#333333,1,,#333333,1
10,1.2.1.3,1.2.1.3 — Conduct Analysis of Alternatives (AoA),task,MSA,star,#636EFA,4,1.2.1.3,False,False,2025-12-08 08:00:00,2026-02-06 17:00:00,True,0.85,,#333333,1,,#333333,1
11,1.2.1.4,1.2.1.4 — Draft capability requirements (draft CDD),task,MSA,star,#636EFA,4,1.2.1.4,False,False,2026-01-12 08:00:00,2026-03-06 17:00:00,True,0.85,,#333333,1,,#333333,1
12,1.2.2,1.2.2 — MSA — Early Systems Engineering Reviews,task,MSA,star,#636EFA,3,1.2.2,True,False,2025-11-03 08:00:00,2026-03-20 17:00:00,True,0.28,\,#333333,2,,#333333,1
13,1.2.2.1,1.2.2.1 — Alternative Systems Review (ASR),milestone,MSA,diamond,#FECB52,4,1.2.2.1,False,True,2025-12-12 13:00:00,2025-12-12 13:00:00,True,1,,#333333,1,14,#333333,1
14,1.2.2.2,1.2.2.2 — System Requirements Review (SRR),milestone,MSA,diamond,#FECB52,4,1.2.2.2,False,True,2026-02-20 13:00:00,2026-02-20 13:00:00,True,1,,#333333,1,14,#333333,1
15,1.2.3,1.2.3 — MSA — Acquisition Strategy & Contracting Prep,task,MSA,star,#636EFA,3,1.2.3,True,False,2025-11-10 08:00:00,2026-03-31 17:00:00,True,0.28,\,#333333,2,,#333333,1
16,1.2.3.1,1.2.3.1 — Initial Acquisition Strategy & funding profile,task,MSA,star,#636EFA,4,1.2.3.1,False,False,2025-11-10 08:00:00,2026-01-30 17:00:00,True,0.85,,#333333,1,,#333333,1
17,1.2.3.2,1.2.3.2 — Market research / industry engagement,task,MSA,star,#636EFA,4,1.2.3.2,False,False,2025-12-01 08:00:00,2026-02-13 17:00:00,True,0.85,,#333333,1,,#333333,1
18,1.2.4,1.2.4 — Milestone A Decision (enter TMRR),milestone,MSA,triangle-up,#FECB52,3,1.2.4,False,True,2026-03-25 13:00:00,2026-03-25 13:00:00,True,1,,#333333,1,18,#333333,1
19,1.3.1,1.3.1 — TMRR — Prototyping & Tech Maturation,task,TMRR,star,#EF553B,3,1.3.1,True,False,2026-04-01 08:00:00,2026-10-14 17:00:00,True,0.28,\,#333333,2,,#333333,1
20,1.3.1.1,1.3.1.1 — Build/assess competitive prototypes,task,TMRR,star,#EF553B,4,1.3.1.1,False,False,2026-04-01 08:00:00,2026-08-14 17:00:00,True,0.85,,#333333,1,,#333333,1
21,1.3.1.2,1.3.1.2 — Demonstrate key technologies in relevant environment,task,TMRR,star,#EF553B,4,1.3.1.2,False,False,2026-06-01 08:00:00,2026-10-14 17:00:00,True,0.85,,#333333,1,,#333333,1
22,1.3.2,"1.3.2 — TMRR — Requirements, Architecture & Design",task,TMRR,star,#EF553B,3,1.3.2,True,False,2026-04-15 08:00:00,2026-11-18 17:00:00,True,0.28,\,#333333,2,,#333333,1
23,1.3.2.1,1.3.2.1 — CDD Validation,milestone,TMRR,star,#FECB52,4,1.3.2.1,False,True,2026-07-10 13:00:00,2026-07-10 13:00:00,True,1,,#333333,1,14,#333333,1
24,1.3.2.2,1.3.2.2 — System Functional Review (SFR),milestone,TMRR,diamond,#FECB52,4,1.3.2.2,False,True,2026-08-21 13:00:00,2026-08-21 13:00:00,True,1,,#333333,1,14,#333333,1
25,1.3.2.3,1.3.2.3 — Preliminary Design Review (PDR),milestone,TMRR,diamond,#FECB52,4,1.3.2.3,False,True,2026-10-30 13:00:00,2026-10-30 13:00:00,True,1,,#333333,1,14,#333333,1
26,1.3.3,1.3.3 — TMRR — Contracting & Planning (EMD),task,TMRR,star,#EF553B,3,1.3.3,True,False,2026-08-01 08:00:00,2026-12-20 17:00:00,True,0.28,\,#333333,2,,#333333,1
27,1.3.3.1,1.3.3.1 — Prepare EMD RFP package,task,TMRR,star,#EF553B,4,1.3.3.1,False,False,2026-08-01 08:00:00,2026-11-04 17:00:00,True,0.85,,#333333,1,,#333333,1
28,1.3.3.2,1.3.3.2 — RFP Release Decision Point (EMD),milestone,TMRR,triangle-up,#FECB52,4,1.3.3.2,False,True,2026-11-10 13:00:00,2026-11-10 13:00:00,True,1,,#333333,1,18,#333333,1
29,1.3.3.3,1.3.3.3 — Source selection (EMD contract award prep),task,TMRR,star,#EF553B,4,1.3.3.3,False,False,2026-11-11 08:00:00,2026-12-15 17:00:00,True,0.85,,#333333,1,,#333333,1
30,1.3.4,1.3.4 — Milestone B Decision (enter EMD),milestone,TMRR,triangle-up,#FECB52,3,1.3.4,False,True,2026-12-20 13:00:00,2026-12-20 13:00:00,True,1,,#333333,1,18,#333333,1
31,1.4.1,1.4.1 — EMD — Detailed Design & Integration,task,EMD,star,#00CC96,3,1.4.1,True,False,2027-01-03 08:00:00,2027-11-30 17:00:00,True,0.28,\,#333333,2,,#333333,1
32,1.4.1.1,1.4.1.1 — Detailed design & subsystem integration,task,EMD,star,#00CC96,4,1.4.1.1,False,False,2027-01-03 08:00:00,2027-08-31 17:00:00,True,0.85,,#333333,1,,#333333,1
33,1.4.1.2,1.4.1.2 — Critical Design Review (CDR),milestone,EMD,diamond,#FECB52,4,1.4.1.2,False,True,2027-09-15 13:00:00,2027-09-15 13:00:00,True,1,,#333333,1,14,#333333,1
34,1.4.1.3,1.4.1.3 — Build engineering development models (EDMs),task,EMD,star,#00CC96,4,1.4.1.3,False,False,2027-09-18 08:00:00,2027-11-30 17:00:00,True,0.85,,#333333,1,,#333333,1
35,1.4.2,1.4.2 — EMD — Developmental Test & Evaluation (DT&E),task,EMD,star,#00CC96,3,1.4.2,True,False,2027-12-01 08:00:00,2028-06-30 17:00:00,True,0.28,\,#333333,2,,#333333,1
36,1.4.2.1,1.4.2.1 — Test Readiness Review (TRR),milestone,EMD,diamond,#FECB52,4,1.4.2.1,False,True,2028-01-15 13:00:00,2028-01-15 13:00:00,True,1,,#333333,1,14,#333333,1
37,1.4.2.2,1.4.2.2 — Execute DT&E events,task,EMD,star,#00CC96,4,1.4.2.2,False,False,2028-01-16 08:00:00,2028-04-30 17:00:00,True,0.85,,#333333,1,,#333333,1
38,1.4.2.3,1.4.2.3 — System Verification Review (SVR),milestone,EMD,diamond,#FECB52,4,1.4.2.3,False,True,2028-05-10 13:00:00,2028-05-10 13:00:00,True,1,,#333333,1,14,#333333,1
39,1.4.3,1.4.3 — EMD — Production Planning & Readiness,task,EMD,star,#00CC96,3,1.4.3,True,False,2028-03-01 08:00:00,2028-09-15 17:00:00,True,0.28,\,#333333,2,,#333333,1
40,1.4.3.1,1.4.3.1 — Establish production tooling / processes,task,EMD,star,#00CC96,4,1.4.3.1,False,False,2028-03-01 08:00:00,2028-07-31 17:00:00,True,0.85,,#333333,1,,#333333,1
41,1.4.3.2,1.4.3.2 — Production Readiness Review (PRR),milestone,EMD,diamond,#FECB52,4,1.4.3.2,False,True,2028-08-15 13:00:00,2028-08-15 13:00:00,True,1,,#333333,1,14,#333333,1
42,1.4.4,1.4.4 — Milestone C Decision (enter Production & Deployment),milestone,EMD,triangle-up,#FECB52,3,1.4.4,False,True,2028-09-20 13:00:00,2028-09-20 13:00:00,True,1,,#333333,1,18,#333333,1
43,1.5.1,1.5.1 — P&D — Low-Rate Initial Production (LRIP),task,P&D,star,#AB63FA,3,1.5.1,True,False,2028-10-01 08:00:00,2029-03-31 17:00:00,True,0.28,\,#333333,2,,#333333,1
44,1.5.1.1,1.5.1.1 — LRIP Lot 1 build & deliver,task,P&D,star,#AB63FA,4,1.5.1.1,False,False,2028-10-01 08:00:00,2029-02-28 17:00:00,True,0.85,,#333333,1,,#333333,1
45,1.5.1.2,1.5.1.2 — Initial Operational Test & Evaluation (IOT&E),task,P&D,star,#AB63FA,4,1.5.1.2,False,False,2029-01-15 08:00:00,2029-03-31 17:00:00,True,0.85,,#333333,1,,#333333,1
46,1.5.2,1.5.2 — P&D — Full-Rate Production (FRP) & Fielding,task,P&D,star,#AB63FA,3,1.5.2,True,False,2029-04-01 08:00:00,2029-09-30 17:00:00,True,0.28,\,#333333,2,,#333333,1
47,1.5.2.1,1.5.2.1 — Full-Rate Production (FRP) Decision,milestone,P&D,triangle-up,#FECB52,4,1.5.2.1,False,True,2029-04-15 13:00:00,2029-04-15 13:00:00,True,1,,#333333,1,18,#333333,1
48,1.5.2.2,1.5.2.2 — FRP Lot 1,task,P&D,star,#AB63FA,4,1.5.2.2,False,False,2029-04-16 08:00:00,2029-08-31 17:00:00,True,0.85,,#333333,1,,#333333,1
49,1.5.2.3,1.5.2.3 — Initial Operational Capability (IOC),milestone,P&D,star,#FECB52,4,1.5.2.3,False,True,2029-06-30 13:00:00,2029-06-30 13:00:00,True,1,,#333333,1,18,#333333,1
50,1.6.1,1.6.1 — O&S — Sustainment & Continuous Improvement,task,O&S,star,#19D3F3,3,1.6.1,True,False,2029-10-01 08:00:00,2031-06-30 17:00:00,True,0.28,\,#333333,2,,#333333,1
51,1.6.1.1,"1.6.1.1 — Operations, maintenance, supply support",task,O&S,star,#19D3F3,4,1.6.1.1,False,False,2029-10-01 08:00:00,2031-06-30 17:00:00,True,0.85,,#333333,1,,#333333,1
52,1.6.1.2,1.6.1.2 — Block upgrade / tech refresh planning,task,O&S,star,#19D3F3,4,1.6.1.2,False,False,2030-04-01 08:00:00,2031-03-31 17:00:00,True,0.85,,#333333,1,,#333333,1
53,1.6.1.3,1.6.1.3 — Full Operational Capability (FOC),milestone,O&S,star,#FECB52,4,1.6.1.3,False,True,2030-09-30 13:00:00,2030-09-30 13:00:00,True,1,,#333333,1,18,#333333,1
